work_order_id,program,part_category,production_cell,priority_level,status,planned_start_date,planned_completion_date,forecast_completion_date,days_behind_schedule,material_available,supplier_delay_days,inspection_hold,quality_hold,rework_hours,defect_count,machine_availability_pct,labor_capacity_pct,estimated_cost_impact
WO-0001,Viper Ground,Ground Support Bracket,Cell A,Medium,Inspection,2026-05-08,2026-06-01,2026-05-26,0,True,0,True,False,3,0,100.0,96.7,709.63
WO-0002,Atlas Comms,Ground Support Bracket,Cell A,Low,Ready for Delivery,2026-05-13,2026-06-11,2026-06-17,6,True,0,False,False,0,0,100.0,82.8,0.0
WO-0003,Orion Sensor,Comms Enclosure,Cell E,Urgent,Rework,2026-04-13,2026-05-05,2026-05-05,0,True,0,False,False,1,0,100.0,91.2,145.51
WO-0004,Falcon Shield,Guidance Assembly,Cell A,Medium,In Progress,2026-05-03,2026-05-17,2026-05-19,2,False,10,False,False,6,2,91.2,100.0,13350.34
WO-0005,Atlas Comms,Power Module,Cell A,Medium,Ready for Delivery,2026-04-10,2026-05-03,2026-05-11,8,False,7,False,False,6,0,77.2,84.4,11793.07
WO-0006,Viper Ground,Flight Control Subassembly,Cell E,Medium,In Progress,2026-04-02,2026-04-07,2026-04-02,0,True,0,True,False,5,0,86.2,72.5,932.76
WO-0007,Falcon Shield,Guidance Assembly,Cell C,Medium,Rework,2026-05-12,2026-06-14,2026-06-10,0,False,15,False,True,3,2,70.2,82.8,17890.12
WO-0008,Orion Sensor,Power Module,Cell A,Low,Ready for Delivery,2026-05-10,2026-05-17,2026-05-18,1,True,0,False,True,4,2,93.4,83.7,3356.6
WO-0009,Horizon ISR,Comms Enclosure,Cell B,High,Inspection,2026-05-18,2026-05-24,2026-05-21,0,True,0,False,False,2,1,87.6,69.6,967.13
WO-0010,Falcon Shield,Power Module,Cell D,High,In Progress,2026-05-17,2026-06-06,2026-06-04,0,True,0,True,False,6,1,69.4,87.0,2187.91
WO-0011,Viper Ground,Flight Control Subassembly,Cell A,High,In Progress,2026-04-30,2026-06-03,2026-05-28,0,True,0,False,False,5,1,88.8,93.0,2152.25
WO-0012,Viper Ground,Power Module,Cell A,Medium,Inspection,2026-04-07,2026-04-15,2026-04-17,2,True,0,True,False,6,1,100.0,92.6,1512.15
WO-0013,Viper Ground,Power Module,Cell A,Low,Ready for Delivery,2026-05-20,2026-06-15,2026-06-10,0,False,15,False,False,0,1,64.8,74.1,25915.54
WO-0014,Atlas Comms,Sensor Housing,Cell A,Medium,Rework,2026-04-29,2026-06-01,2026-06-06,5,True,0,False,False,0,1,100.0,100.0,541.63
WO-0015,Viper Ground,Sensor Housing,Cell A,High,In Progress,2026-04-02,2026-04-14,2026-04-07,0,True,0,False,False,8,0,93.4,100.0,1246.95
WO-0016,Atlas Comms,Comms Enclosure,Cell E,Medium,Rework,2026-04-07,2026-04-25,2026-04-27,2,True,0,False,True,6,2,82.2,87.1,1412.85
WO-0017,Orion Sensor,Ground Support Bracket,Cell B,Urgent,Rework,2026-05-13,2026-05-29,2026-05-25,0,True,0,False,False,3,2,100.0,97.6,1863.9
WO-0018,Horizon ISR,Power Module,Cell D,High,In Progress,2026-04-08,2026-04-24,2026-04-17,0,True,0,False,False,0,0,99.3,100.0,0.0
WO-0019,Horizon ISR,Comms Enclosure,Cell B,Medium,In Progress,2026-04-21,2026-05-20,2026-05-17,0,True,0,False,False,0,0,96.4,94.4,0.0
WO-0020,Viper Ground,Power Module,Cell A,Urgent,Ready for Delivery,2026-04-18,2026-05-18,2026-06-10,23,True,0,False,False,2,1,100.0,93.4,1505.71
WO-0021,Viper Ground,Guidance Assembly,Cell E,Urgent,Inspection,2026-05-13,2026-06-15,2026-06-13,0,True,0,False,True,7,0,80.9,97.9,1456.36
WO-0022,Falcon Shield,Guidance Assembly,Cell D,High,In Progress,2026-05-06,2026-05-19,2026-06-02,14,True,0,True,False,10,1,100.0,89.2,2750.28
WO-0023,Falcon Shield,Ground Support Bracket,Cell E,Medium,In Progress,2026-04-18,2026-05-09,2026-05-08,0,False,22,False,False,6,0,66.5,79.7,34467.86
WO-0024,Orion Sensor,Power Module,Cell B,Low,Inspection,2026-04-30,2026-05-30,2026-06-06,7,True,0,True,False,1,0,95.4,100.0,218.14
WO-0025,Orion Sensor,Power Module,Cell C,Medium,In Progress,2026-05-07,2026-05-30,2026-06-07,8,False,19,False,False,3,0,80.0,100.0,30983.74
WO-0026,Horizon ISR,Ground Support Bracket,Cell E,Medium,In Progress,2026-04-19,2026-05-21,2026-05-26,5,True,0,False,False,4,0,81.4,51.6,724.35
WO-0027,Viper Ground,Comms Enclosure,Cell E,Medium,In Progress,2026-04-20,2026-05-05,2026-05-05,0,True,0,True,False,3,2,79.6,72.5,3070.07
WO-0028,Atlas Comms,Ground Support Bracket,Cell B,Medium,Inspection,2026-04-25,2026-05-07,2026-05-15,8,True,0,False,False,0,0,92.1,100.0,0.0
WO-0029,Viper Ground,Guidance Assembly,Cell E,Urgent,Ready for Delivery,2026-04-24,2026-04-30,2026-04-23,0,True,0,False,False,2,2,80.6,100.0,902.09
WO-0030,Orion Sensor,Flight Control Subassembly,Cell C,Medium,Rework,2026-05-22,2026-06-18,2026-06-16,0,True,0,True,False,5,1,71.6,93.5,1583.91
WO-0031,Atlas Comms,Power Module,Cell B,Medium,Inspection,2026-05-23,2026-06-08,2026-06-16,8,True,0,True,True,6,2,95.7,100.0,2676.35
WO-0032,Atlas Comms,Power Module,Cell C,Low,In Progress,2026-04-23,2026-05-12,2026-05-24,12,False,7,False,False,0,0,93.5,94.2,6588.93
